order_ref,customer_ref,order_status,order_subtotal,tax_total,shipping_fee,discount_total,grand_total,currency_code,purchase_date,shipment_date,delivery_date,device_category,coupon_code,record_created,shipping_method,customer_ip,marketing_channel,payment_method,item_count,refund_amount
657,419,Delivered,6975.24,789.47,6.07,0.0,7770.78,USD,2020-09-01T00:38:22Z,2020-09-04T00:38:22Z,2020-09-09T00:38:22Z,Tablet,,2020-09-01T00:38:22Z,Standard,216.69.102.237,Email,Credit Card,6,0.0
658,420,Processing,1159.2,111.83,8.49,302.38,1279.52,USD,2020-04-12T01:04:22Z,,,Tablet,CLEARANCE40,2020-04-12T01:04:22Z,Standard,83.117.238.245,Direct,Apple Pay,4,0.0
659,420,Delivered,2415.26,213.44,22.01,0.0,2650.71,USD,2016-12-11T16:30:56Z,2016-12-12T16:30:56Z,2016-12-17T16:30:56Z,Desktop,,2016-12-11T16:30:56Z,Express,141.9.221.208,Referral,PayPal,7,0.0
660,421,Delivered,6776.35,642.82,16.27,0.0,7435.44,USD,2025-07-23T00:21:32Z,2025-07-23T00:21:32Z,2025-07-27T00:21:32Z,Mobile,,2025-07-23T00:21:32Z,Priority,105.78.66.22,Direct,Credit Card,6,0.0
661,422,Delivered,675.26,54.92,0.0,0.0,730.18,USD,2024-05-25T03:53:13Z,2024-05-25T03:53:13Z,2024-06-01T03:53:13Z,Desktop,FREESHIP,2024-05-25T03:53:13Z,Free Shipping,47.109.101.11,Email,Credit Card,5,0.0
662,422,Delivered,4431.91,457.46,17.2,6.13,4906.57,USD,2024-05-25T07:15:25Z,2024-05-26T07:15:25Z,2024-05-31T07:15:25Z,Desktop,SAVE10,2024-05-25T07:15:25Z,Priority,54.137.159.92,Email,Apple Pay,14,0.0
663,422,Delivered,4598.15,262.0,18.65,322.52,4878.8,USD,2017-04-08T09:14:52Z,2017-04-10T09:14:52Z,2017-04-17T09:14:52Z,Desktop,SAVE20,2017-04-08T09:14:52Z,Priority,115.184.31.171,Display Ads,PayPal,6,0.0
664,423,Delivered,6110.19,456.15,57.01,625.72,6623.35,USD,2024-04-29T03:37:15Z,2024-04-30T03:37:15Z,2024-05-07T03:37:15Z,Desktop,CLEARANCE40,2024-04-29T03:37:15Z,White Glove,118.22.52.239,Organic Search,Gift Card,12,0.0
665,424,Delivered,3483.93,304.21,6.07,49.92,3794.21,USD,2018-01-10T10:49:10Z,2018-01-12T10:49:10Z,2018-01-19T10:49:10Z,Tablet,NEWUSER25,2018-01-10T10:49:10Z,Standard,91.245.112.56,Organic Search,Credit Card,9,0.0
666,424,Cancelled,2478.3,205.91,71.41,72.78,2755.62,USD,2020-12-19T23:34:06Z,,,Desktop,WELCOME15,2020-12-19T23:34:06Z,White Glove,150.33.183.160,Organic Search,Cash on Delivery,11,2755.62
667,425,Cancelled,5825.09,424.34,0.0,34.8,6249.43,USD,2023-10-05T20:52:06Z,,,Desktop,SAVE10,2023-10-05T20:52:06Z,Free Shipping,188.135.166.195,Social Media,Credit Card,11,6249.43
668,425,Returned,9523.29,1016.11,14.29,500.4,10553.69,USD,2023-10-05T18:52:58Z,2023-10-05T18:52:58Z,2023-10-09T18:52:58Z,Desktop,WELCOME15,2023-10-05T18:52:58Z,Priority,141.133.119.80,Social Media,PayPal,27,10263.46
669,426,Shipped,15257.85,1577.05,18.26,0.0,16853.16,USD,2024-08-10T06:54:26Z,2024-08-12T06:54:26Z,,Mobile,,2024-08-10T06:54:26Z,Priority,110.131.182.67,Email,Credit Card,23,0.0
670,426,Delivered,7032.75,612.2,28.84,350.21,7673.79,USD,2024-10-14T02:42:13Z,2024-10-17T02:42:13Z,2024-10-23T02:42:13Z,Tablet,WELCOME15,2024-10-14T02:42:13Z,Express,82.21.97.4,Email,Credit Card,22,0.0
671,426,Delivered,1663.4,134.15,14.58,162.02,1812.13,USD,2025-03-16T11:10:25Z,2025-03-19T11:10:25Z,2025-03-22T11:10:25Z,Desktop,SAVE10,2025-03-16T11:10:25Z,Priority,145.217.199.146,Direct,Credit Card,10,0.0
672,427,Pending,9131.32,784.34,6.68,462.56,9922.34,USD,2021-10-30T17:56:51Z,,,Mobile,WELCOME15,2021-10-30T17:56:51Z,Standard,126.160.98.136,Organic Search,Cash on Delivery,18,0.0
673,428,Pending,4072.61,234.57,9.54,0.0,4316.72,USD,2024-12-25T06:54:12Z,,,Mobile,,2024-12-25T06:54:12Z,Standard,170.171.115.165,Direct,PayPal,8,0.0
674,428,Processing,5709.16,520.68,24.39,48.36,6254.23,USD,2024-12-25T06:52:47Z,,,Mobile,SAVE20,2024-12-25T06:52:47Z,2-Day,2.64.32.128,Direct,Credit Card,13,0.0
675,429,Processing,7699.15,554.18,16.47,132.21,8269.8,USD,2018-06-13T20:32:46Z,,,Desktop,WELCOME15,2018-06-13T20:32:46Z,Priority,67.48.49.202,Direct,PayPal,27,0.0
676,430,Pending,3125.52,364.97,7.06,0.0,3497.55,USD,2024-03-23T13:56:02Z,,,Mobile,,2024-03-23T13:56:02Z,Standard,86.223.202.173,Social Media,Apple Pay,14,0.0
677,431,Delivered,6656.86,648.0,0.0,170.98,7304.86,USD,2023-03-31T00:04:37Z,2023-03-31T00:04:37Z,2023-04-02T00:04:37Z,Mobile,FREESHIP,2023-03-31T00:04:37Z,Free Shipping,65.105.251.184,Organic Search,PayPal,19,674.13
678,432,Delivered,7629.9,576.19,9.89,87.05,8215.98,USD,2024-03-12T01:39:48Z,2024-03-13T01:39:48Z,2024-03-19T01:39:48Z,Mobile,NEWUSER25,2024-03-12T01:39:48Z,Standard,47.241.145.152,Paid Search,Cash on Delivery,20,0.0
679,433,Delivered,4001.78,389.76,7.14,40.79,4398.68,USD,2022-03-05T01:54:39Z,2022-03-05T01:54:39Z,2022-03-08T01:54:39Z,Mobile,CLEARANCE40,2022-03-05T01:54:39Z,Standard,133.195.167.117,Social Media,PayPal,5,0.0
680,434,Shipped,618.26,45.73,6.01,124.61,670.0,USD,2020-04-11T17:22:22Z,2020-04-13T17:22:22Z,,Desktop,CLEARANCE40,2020-04-11T17:22:22Z,Standard,213.8.168.157,Organic Search,Gift Card,7,0.0
681,434,Cancelled,8518.93,916.56,6.75,25.23,9442.24,USD,2025-04-10T03:15:44Z,,,Desktop,SAVE20,2025-04-10T03:15:44Z,Standard,132.46.197.155,Direct,Credit Card,34,9442.24
682,434,Processing,2309.9,216.36,0.0,0.0,2526.26,USD,2023-11-29T03:44:51Z,,,Mobile,FREESHIP,2023-11-29T03:44:51Z,Free Shipping,130.212.76.179,Direct,PayPal,5,0.0
683,435,Returned,3412.61,300.41,15.24,0.0,3728.26,USD,2023-11-30T22:36:45Z,2023-12-01T22:36:45Z,2023-12-06T22:36:45Z,Desktop,,2023-11-30T22:36:45Z,2-Day,67.4.84.185,Email,Apple Pay,9,3221.26
684,435,Processing,273.01,26.47,18.85,0.0,318.33,USD,2025-08-30T10:20:49Z,,,Mobile,,2025-08-30T10:20:49Z,Priority,190.54.137.156,Paid Search,Gift Card,7,0.0
685,436,Delivered,1303.66,87.4,26.37,19.94,1417.43,USD,2023-01-05T16:02:36Z,2023-01-07T16:02:36Z,2023-01-13T16:02:36Z,Tablet,SAVE10,2023-01-05T16:02:36Z,Express,130.241.7.133,Direct,Credit Card,6,0.0
686,437,Delivered,1983.66,202.98,0.0,0.0,2186.64,USD,2023-04-29T09:25:39Z,2023-04-30T09:25:39Z,2023-05-03T09:25:39Z,Desktop,FREESHIP,2023-04-29T09:25:39Z,Free Shipping,98.24.186.69,Paid Search,Credit Card,8,0.0
687,438,Pending,1530.34,101.14,6.35,352.84,1637.83,USD,2019-11-19T00:13:21Z,,,Desktop,SAVE20,2019-11-19T00:13:21Z,Standard,96.135.69.25,Paid Search,PayPal,8,0.0
688,439,Delivered,597.48,34.32,7.94,0.0,639.74,USD,2023-03-04T06:41:29Z,2023-03-07T06:41:29Z,2023-03-14T06:41:29Z,Desktop,,2023-03-04T06:41:29Z,Standard,176.162.211.155,Direct,Credit Card,4,0.0
689,440,Delivered,5376.84,380.52,16.46,0.0,5773.82,USD,2017-11-20T15:49:23Z,2017-11-23T15:49:23Z,2017-11-25T15:49:23Z,Tablet,,2017-11-20T15:49:23Z,2-Day,85.79.43.248,Email,Credit Card,4,0.0
690,441,Delivered,2315.88,225.08,0.0,164.43,2540.96,USD,2022-12-19T19:58:17Z,2022-12-22T19:58:17Z,2022-12-24T19:58:17Z,Mobile,FREESHIP,2022-12-19T19:58:17Z,Free Shipping,20.118.116.58,Social Media,Credit Card,6,0.0
691,442,Shipped,3896.56,307.99,8.16,390.25,4212.71,USD,2025-12-18T19:27:43Z,2025-12-20T19:27:43Z,,Desktop,CLEARANCE40,2025-12-18T19:27:43Z,Standard,178.143.185.177,Email,Credit Card,16,0.0
692,442,Delivered,3757.32,220.92,21.06,559.73,3999.3,USD,2022-08-25T19:05:03Z,2022-08-28T19:05:03Z,2022-08-30T19:05:03Z,Desktop,SAVE10,2022-08-25T19:05:03Z,2-Day,65.194.176.251,Paid Search,Cash on Delivery,5,0.0
693,443,Delivered,854.62,93.52,19.81,325.37,967.95,USD,2022-06-13T07:32:39Z,2022-06-15T07:32:39Z,2022-06-22T07:32:39Z,Desktop,SAVE20,2022-06-13T07:32:39Z,Priority,202.74.33.108,Display Ads,PayPal,6,0.0
694,443,Delivered,1088.44,88.51,19.37,219.26,1196.32,USD,2022-09-07T08:33:34Z,2022-09-10T08:33:34Z,2022-09-12T08:33:34Z,Tablet,CLEARANCE40,2022-09-07T08:33:34Z,2-Day,202.232.124.250,Referral,PayPal,6,0.0
695,444,Processing,1919.18,171.89,6.81,60.58,2097.88,USD,2025-02-01T08:32:47Z,,,Desktop,NEWUSER25,2025-02-01T08:32:47Z,Standard,113.160.185.109,Social Media,Credit Card,9,0.0
696,445,Returned,302.81,24.46,24.4,201.88,351.67,USD,2025-06-02T09:16:31Z,2025-06-04T09:16:31Z,2025-06-06T09:16:31Z,Mobile,CLEARANCE40,2025-06-02T09:16:31Z,2-Day,78.136.112.238,Organic Search,PayPal,3,349.7
697,446,Delivered,1466.48,135.12,16.34,68.01,1617.94,USD,2024-11-19T07:53:28Z,2024-11-19T07:53:28Z,2024-11-23T07:53:28Z,Mobile,WELCOME15,2024-11-19T07:53:28Z,Priority,189.20.153.157,Organic Search,Credit Card,14,0.0
698,447,Delivered,6818.97,737.94,0.0,2329.31,7556.91,USD,2025-04-23T16:12:23Z,2025-04-26T16:12:23Z,2025-05-01T16:12:23Z,Desktop,FREESHIP,2025-04-23T16:12:23Z,Free Shipping,137.193.28.113,Social Media,PayPal,18,0.0
699,447,Shipped,4740.3,363.87,18.77,363.25,5122.94,USD,2025-05-06T06:20:35Z,2025-05-09T06:20:35Z,,Mobile,WELCOME15,2025-05-06T06:20:35Z,2-Day,26.90.14.140,Paid Search,Gift Card,20,0.0
700,448,Pending,1131.67,127.63,16.58,125.74,1275.88,USD,2022-06-10T03:40:29Z,,,Mobile,SAVE10,2022-06-10T03:40:29Z,2-Day,64.9.122.121,Direct,Cash on Delivery,7,0.0
701,449,Delivered,2689.66,233.39,25.88,1134.91,2948.93,USD,2018-05-29T16:32:44Z,2018-05-29T16:32:44Z,2018-06-05T16:32:44Z,Desktop,CLEARANCE40,2018-05-29T16:32:44Z,Express,165.7.132.183,Organic Search,Credit Card,15,0.0
702,450,Delivered,4636.09,480.74,87.09,2687.35,5203.92,USD,2025-10-09T21:13:45Z,2025-10-10T21:13:45Z,2025-10-16T21:13:45Z,Mobile,CLEARANCE40,2025-10-09T21:13:45Z,White Glove,217.65.37.121,Paid Search,Credit Card,8,0.0
703,451,Pending,909.11,103.09,0.0,71.37,1012.2,USD,2023-05-01T18:42:30Z,,,Mobile,NEWUSER25,2023-05-01T18:42:30Z,Free Shipping,3.100.104.96,Organic Search,Credit Card,4,0.0
704,452,Shipped,4221.9,284.17,0.0,0.0,4506.07,USD,2023-01-10T11:59:42Z,2023-01-12T11:59:42Z,,Mobile,FREESHIP,2023-01-10T11:59:42Z,Free Shipping,222.143.67.193,Social Media,Credit Card,24,0.0
705,453,Cancelled,202.12,12.11,17.37,0.0,231.6,USD,2024-04-24T15:19:05Z,,,Mobile,,2024-04-24T15:19:05Z,Priority,216.21.40.217,Display Ads,Credit Card,4,231.6
706,453,Delivered,2480.7,178.95,7.45,0.0,2667.1,USD,2022-08-30T19:02:34Z,2022-09-01T19:02:34Z,2022-09-05T19:02:34Z,Desktop,,2022-08-30T19:02:34Z,Standard,28.243.235.168,Organic Search,PayPal,6,0.0
707,453,Processing,1596.45,182.06,9.0,0.0,1787.51,USD,2023-01-07T22:06:02Z,,,Desktop,,2023-01-07T22:06:02Z,Standard,116.16.197.216,Paid Search,Credit Card,5,0.0
708,454,Delivered,9754.99,1098.02,24.6,1882.06,10877.61,USD,2017-11-20T12:49:04Z,2017-11-21T12:49:04Z,2017-11-28T12:49:04Z,Mobile,NEWUSER25,2017-11-20T12:49:04Z,Express,163.14.174.19,Direct,Gift Card,25,0.0
709,455,Shipped,8544.3,739.05,19.03,301.57,9302.38,USD,2025-09-27T04:00:46Z,2025-09-28T04:00:46Z,,Mobile,SAVE10,2025-09-27T04:00:46Z,Priority,146.17.57.226,Organic Search,Credit Card,22,0.0
710,456,Shipped,2337.78,180.7,6.8,88.5,2525.28,USD,2025-08-24T12:07:22Z,2025-08-26T12:07:22Z,,Desktop,CLEARANCE40,2025-08-24T12:07:22Z,Standard,149.232.50.219,Paid Search,Credit Card,6,0.0
711,456,Delivered,5174.83,465.75,9.24,1096.3,5649.82,USD,2025-08-24T11:58:49Z,2025-08-25T11:58:49Z,2025-08-29T11:58:49Z,Desktop,SAVE20,2025-08-24T11:58:49Z,Standard,157.68.113.198,Paid Search,Credit Card,11,0.0
712,456,Delivered,1707.44,170.0,7.1,0.0,1884.54,USD,2025-01-26T18:22:50Z,2025-01-29T18:22:50Z,2025-01-31T18:22:50Z,Tablet,,2025-01-26T18:22:50Z,Standard,33.87.23.243,Paid Search,PayPal,13,0.0
713,457,Delivered,2934.87,224.85,8.77,824.85,3168.49,USD,2024-05-22T02:50:47Z,2024-05-25T02:50:47Z,2024-05-31T02:50:47Z,Desktop,NEWUSER25,2024-05-22T02:50:47Z,Standard,131.43.171.19,Organic Search,PayPal,8,0.0
714,457,Delivered,2447.45,216.96,0.0,1124.13,2664.41,USD,2025-05-14T07:45:33Z,2025-05-14T07:45:33Z,2025-05-19T07:45:33Z,Mobile,SAVE20,2025-05-14T07:45:33Z,Free Shipping,141.50.104.100,Direct,Credit Card,13,0.0
715,458,Delivered,2783.96,185.06,18.9,927.6,2987.92,USD,2025-06-14T16:35:23Z,2025-06-16T16:35:23Z,2025-06-22T16:35:23Z,Desktop,NEWUSER25,2025-06-14T16:35:23Z,Priority,136.179.31.110,Direct,Credit Card,13,0.0
716,459,Pending,779.22,60.9,19.42,194.8,859.54,USD,2025-10-24T18:59:09Z,,,Mobile,SAVE20,2025-10-24T18:59:09Z,Priority,109.244.179.241,Direct,PayPal,2,0.0
717,460,Delivered,7419.0,492.9,25.67,73.23,7937.57,USD,2025-11-28T16:58:31Z,2025-11-30T16:58:31Z,2025-12-07T16:58:31Z,Desktop,WELCOME15,2025-11-28T16:58:31Z,Express,38.9.249.217,Social Media,PayPal,9,0.0
718,460,Delivered,1585.97,130.11,0.0,655.77,1716.08,USD,2025-09-28T17:47:57Z,2025-09-28T17:47:57Z,2025-10-04T17:47:57Z,Desktop,CLEARANCE40,2025-09-28T17:47:57Z,Free Shipping,158.20.18.133,Organic Search,Credit Card,11,0.0
719,461,Delivered,8595.1,564.6,28.6,138.0,9188.3,USD,2018-09-29T18:15:00Z,2018-09-30T18:15:00Z,2018-10-03T18:15:00Z,Desktop,SAVE10,2018-09-29T18:15:00Z,Express,98.60.151.75,Display Ads,Credit Card,17,0.0
720,462,Processing,4229.42,419.67,0.0,300.64,4649.09,USD,2023-07-17T05:27:49Z,,,Mobile,FREESHIP,2023-07-17T05:27:49Z,Free Shipping,109.238.153.27,Referral,PayPal,27,0.0
721,463,Shipped,2854.93,178.48,0.0,0.0,3033.41,USD,2023-04-20T14:00:04Z,2023-04-23T14:00:04Z,,Desktop,FREESHIP,2023-04-20T14:00:04Z,Free Shipping,77.87.61.222,Direct,Gift Card,9,0.0
722,464,Delivered,7450.51,437.89,0.0,713.47,7888.4,USD,2025-03-21T00:49:16Z,2025-03-22T00:49:16Z,2025-03-25T00:49:16Z,Desktop,SAVE20,2025-03-21T00:49:16Z,Free Shipping,164.154.47.210,Organic Search,Credit Card,14,0.0
723,465,Processing,9621.93,759.56,0.0,218.38,10381.49,USD,2023-09-18T17:23:17Z,,,Desktop,FREESHIP,2023-09-18T17:23:17Z,Free Shipping,185.253.209.8,Direct,PayPal,31,0.0
724,465,Delivered,2501.51,190.74,23.91,34.35,2716.16,USD,2024-06-16T09:51:29Z,2024-06-18T09:51:29Z,2024-06-23T09:51:29Z,Desktop,WELCOME15,2024-06-16T09:51:29Z,Express,175.181.98.237,Organic Search,Gift Card,6,0.0
725,466,Shipped,3946.42,256.23,18.21,77.24,4220.86,USD,2024-04-10T15:52:13Z,2024-04-10T15:52:13Z,,Desktop,WELCOME15,2024-04-10T15:52:13Z,2-Day,150.27.181.114,Direct,PayPal,12,0.0
726,467,Cancelled,7453.47,581.21,103.03,1075.23,8137.71,USD,2025-06-26T06:46:57Z,,,Desktop,SAVE10,2025-06-26T06:46:57Z,White Glove,178.132.53.232,Organic Search,Gift Card,14,8137.71
727,468,Delivered,1086.62,85.7,17.22,189.44,1189.54,USD,2024-09-02T16:53:09Z,2024-09-02T16:53:09Z,2024-09-08T16:53:09Z,Desktop,NEWUSER25,2024-09-02T16:53:09Z,Priority,89.177.139.52,Referral,Credit Card,11,0.0
728,468,Cancelled,1619.71,110.72,8.27,5.48,1738.7,USD,2024-09-02T16:40:39Z,,,Desktop,SAVE10,2024-09-02T16:40:39Z,Standard,145.105.24.171,Referral,Credit Card,7,1738.7
729,468,Processing,6089.0,779.05,73.63,3409.35,6941.68,USD,2024-02-27T22:51:04Z,,,Mobile,NEWUSER25,2024-02-27T22:51:04Z,White Glove,26.147.36.4,Email,PayPal,14,0.0
730,468,Pending,1109.08,84.81,8.16,212.5,1202.05,USD,2021-10-13T15:13:29Z,,,Desktop,SAVE20,2021-10-13T15:13:29Z,Standard,15.230.129.98,Paid Search,PayPal,11,0.0
731,469,Processing,5716.0,629.11,15.91,2390.82,6361.02,USD,2023-08-02T04:46:15Z,,,Tablet,SAVE20,2023-08-02T04:46:15Z,2-Day,192.48.223.172,Social Media,PayPal,21,0.0
732,470,Processing,7800.41,461.47,0.0,0.0,8261.88,USD,2025-12-02T02:40:28Z,,,Desktop,FREESHIP,2025-12-02T02:40:28Z,Free Shipping,37.178.43.45,Paid Search,PayPal,17,0.0
733,471,Processing,1761.96,125.88,9.28,34.19,1897.12,USD,2024-08-13T21:57:18Z,,,Mobile,SAVE10,2024-08-13T21:57:18Z,Standard,41.84.249.98,Social Media,Credit Card,12,0.0
734,472,Shipped,1818.6,125.44,18.22,0.0,1962.26,USD,2025-04-29T12:47:51Z,2025-04-29T12:47:51Z,,Desktop,,2025-04-29T12:47:51Z,Priority,71.174.166.11,Social Media,PayPal,6,0.0
735,472,Delivered,4080.04,317.66,15.33,94.18,4413.03,USD,2025-04-29T13:46:06Z,2025-05-01T13:46:06Z,2025-05-07T13:46:06Z,Desktop,WELCOME15,2025-04-29T13:46:06Z,2-Day,85.199.20.32,Social Media,PayPal,6,0.0
736,473,Cancelled,4117.33,244.09,18.06,327.51,4379.48,USD,2025-11-29T14:38:20Z,,,Desktop,CLEARANCE40,2025-11-29T14:38:20Z,Priority,65.115.118.31,Paid Search,Credit Card,10,4379.48
737,474,Delivered,4056.78,312.58,13.08,210.02,4382.44,USD,2025-06-25T00:05:05Z,2025-06-27T00:05:05Z,2025-07-04T00:05:05Z,Mobile,SAVE10,2025-06-25T00:05:05Z,Priority,24.235.217.152,Direct,PayPal,14,0.0
738,475,Shipped,1226.45,131.37,21.8,0.0,1379.62,USD,2025-07-23T04:46:36Z,2025-07-25T04:46:36Z,,Desktop,,2025-07-23T04:46:36Z,2-Day,206.156.157.169,Direct,PayPal,4,0.0
739,475,Shipped,6124.27,420.05,20.51,680.96,6564.83,USD,2025-07-23T06:45:37Z,2025-07-24T06:45:37Z,,Desktop,CLEARANCE40,2025-07-23T06:45:37Z,Express,44.53.123.201,Direct,PayPal,13,0.0
740,476,Delivered,4772.33,347.02,7.38,95.13,5126.73,USD,2025-11-10T10:15:50Z,2025-11-12T10:15:50Z,2025-11-19T10:15:50Z,Desktop,SAVE20,2025-11-10T10:15:50Z,Standard,111.12.239.251,Organic Search,PayPal,15,0.0
741,477,Delivered,3428.94,317.9,23.15,1431.5,3769.99,USD,2021-08-24T06:44:44Z,2021-08-26T06:44:44Z,2021-09-02T06:44:44Z,Desktop,CLEARANCE40,2021-08-24T06:44:44Z,Express,11.109.108.82,Direct,PayPal,10,0.0
742,477,Delivered,3674.61,254.72,7.35,38.03,3936.68,USD,2025-04-01T07:38:13Z,2025-04-01T07:38:13Z,2025-04-07T07:38:13Z,Desktop,SAVE10,2025-04-01T07:38:13Z,Standard,166.217.143.46,Organic Search,PayPal,20,0.0
743,477,Delivered,302.6,16.6,18.41,0.0,337.61,USD,2025-04-01T06:40:42Z,2025-04-03T06:40:42Z,2025-04-07T06:40:42Z,Desktop,,2025-04-01T06:40:42Z,2-Day,131.238.84.11,Organic Search,PayPal,4,0.0
744,478,Delivered,4471.35,411.75,25.85,0.0,4908.95,USD,2021-08-30T04:21:44Z,2021-09-02T04:21:44Z,2021-09-07T04:21:44Z,Desktop,,2021-08-30T04:21:44Z,Express,190.215.119.113,Organic Search,PayPal,11,0.0
745,478,Shipped,1806.67,178.82,16.11,266.34,2001.6,USD,2021-08-30T07:40:31Z,2021-08-31T07:40:31Z,,Desktop,SAVE20,2021-08-30T07:40:31Z,2-Day,163.255.48.218,Organic Search,Apple Pay,4,0.0
746,479,Delivered,461.24,26.85,8.61,33.22,496.7,USD,2023-04-07T02:55:44Z,2023-04-08T02:55:44Z,2023-04-10T02:55:44Z,Mobile,NEWUSER25,2023-04-07T02:55:44Z,Standard,179.202.124.211,Direct,Credit Card,5,0.0
747,480,Delivered,1943.19,148.78,8.52,90.49,2100.49,USD,2025-01-10T02:27:27Z,2025-01-13T02:27:27Z,2025-01-19T02:27:27Z,Desktop,WELCOME15,2025-01-10T02:27:27Z,Standard,96.185.91.90,Paid Search,PayPal,22,0.0
748,480,Delivered,2514.08,219.63,19.71,0.0,2753.42,USD,2020-06-18T03:00:06Z,2020-06-21T03:00:06Z,2020-06-24T03:00:06Z,Mobile,,2020-06-18T03:00:06Z,Priority,119.203.33.253,Organic Search,PayPal,10,0.0
749,481,Delivered,1828.43,129.28,14.81,322.67,1972.52,USD,2019-05-09T00:59:06Z,2019-05-10T00:59:06Z,2019-05-12T00:59:06Z,Tablet,WELCOME15,2019-05-09T00:59:06Z,Priority,93.180.214.230,Paid Search,Credit Card,3,0.0
750,482,Cancelled,6638.69,599.13,29.53,307.08,7267.35,USD,2020-08-26T19:40:52Z,,,Mobile,SAVE10,2020-08-26T19:40:52Z,Express,34.79.229.141,Organic Search,PayPal,18,7267.35
751,483,Shipped,3720.85,316.0,0.0,0.0,4036.85,USD,2025-06-06T13:50:56Z,2025-06-09T13:50:56Z,,Desktop,FREESHIP,2025-06-06T13:50:56Z,Free Shipping,160.170.226.204,Organic Search,Credit Card,9,0.0
752,483,Delivered,4244.64,254.84,9.2,937.92,4508.68,USD,2025-07-09T07:42:34Z,2025-07-09T07:42:34Z,2025-07-11T07:42:34Z,Mobile,NEWUSER25,2025-07-09T07:42:34Z,Standard,187.230.252.164,Direct,PayPal,12,514.12
753,484,Delivered,2115.24,158.96,13.17,264.02,2287.37,USD,2023-07-13T08:10:04Z,2023-07-15T08:10:04Z,2023-07-20T08:10:04Z,Desktop,SAVE20,2023-07-13T08:10:04Z,Priority,14.97.249.51,Organic Search,Credit Card,11,0.0
754,484,Delivered,7911.67,720.62,19.63,2068.97,8651.92,USD,2023-05-18T21:18:43Z,2023-05-18T21:18:43Z,2023-05-25T21:18:43Z,Desktop,CLEARANCE40,2023-05-18T21:18:43Z,Priority,150.58.217.178,Email,Apple Pay,26,0.0
755,485,Shipped,1480.66,98.12,22.28,442.43,1601.06,USD,2025-11-26T02:29:41Z,2025-11-29T02:29:41Z,,Desktop,CLEARANCE40,2025-11-26T02:29:41Z,2-Day,171.168.246.143,Email,Credit Card,6,0.0
756,485,Delivered,3332.87,279.56,29.54,36.54,3641.97,USD,2025-11-26T00:29:50Z,2025-11-27T00:29:50Z,2025-12-02T00:29:50Z,Desktop,SAVE20,2025-11-26T00:29:50Z,Express,49.179.87.179,Email,Cash on Delivery,16,0.0
757,485,Processing,2554.55,228.81,145.66,452.42,2929.02,USD,2025-11-26T00:29:56Z,,,Desktop,SAVE10,2025-11-26T00:29:56Z,White Glove,143.255.187.43,Email,Gift Card,8,0.0
758,486,Delivered,2336.41,162.73,17.36,223.26,2516.5,USD,2025-07-03T13:21:01Z,2025-07-03T13:21:01Z,2025-07-09T13:21:01Z,Desktop,CLEARANCE40,2025-07-03T13:21:01Z,2-Day,9.85.70.145,Paid Search,Cash on Delivery,6,0.0
759,486,Shipped,1278.57,101.38,0.0,69.54,1379.95,USD,2021-08-11T13:16:50Z,2021-08-12T13:16:50Z,,Tablet,FREESHIP,2021-08-11T13:16:50Z,Free Shipping,29.214.126.203,Direct,Credit Card,3,0.0
760,487,Delivered,1695.23,153.13,8.76,496.64,1857.12,USD,2024-12-15T06:20:54Z,2024-12-18T06:20:54Z,2024-12-22T06:20:54Z,Desktop,NEWUSER25,2024-12-15T06:20:54Z,Standard,164.132.161.59,Email,PayPal,11,0.0
761,488,Processing,9388.72,586.94,0.0,514.28,9975.66,USD,2025-07-14T08:07:07Z,,,Mobile,FREESHIP,2025-07-14T08:07:07Z,Free Shipping,206.13.142.148,Social Media,Apple Pay,19,0.0
762,489,Delivered,6465.06,576.21,0.0,201.5,7041.27,USD,2025-07-19T11:57:01Z,2025-07-21T11:57:01Z,2025-07-28T11:57:01Z,Mobile,FREESHIP,2025-07-19T11:57:01Z,Free Shipping,219.225.132.226,Social Media,Credit Card,24,0.0
763,489,Processing,2004.08,185.32,24.62,334.72,2214.02,USD,2024-11-27T20:26:52Z,,,Desktop,NEWUSER25,2024-11-27T20:26:52Z,2-Day,215.200.160.209,Organic Search,Credit Card,8,0.0
764,489,Delivered,7181.47,506.37,0.0,0.0,7687.84,USD,2024-09-09T22:10:25Z,2024-09-12T22:10:25Z,2024-09-14T22:10:25Z,Tablet,FREESHIP,2024-09-09T22:10:25Z,Free Shipping,65.116.145.79,Direct,Credit Card,11,0.0
765,490,Delivered,8852.67,792.69,15.71,32.45,9661.07,USD,2020-02-08T08:49:45Z,2020-02-11T08:49:45Z,2020-02-15T08:49:45Z,Mobile,SAVE20,2020-02-08T08:49:45Z,Priority,102.253.141.64,Referral,Credit Card,18,0.0
766,490,Cancelled,1227.02,108.14,6.86,0.0,1342.02,USD,2020-02-08T09:50:02Z,,,Mobile,,2020-02-08T09:50:02Z,Standard,83.177.198.20,Referral,Credit Card,5,1342.02
767,490,Shipped,1956.05,177.29,7.07,145.92,2140.41,USD,2021-12-27T14:35:16Z,2021-12-28T14:35:16Z,,Desktop,SAVE20,2021-12-27T14:35:16Z,Standard,53.55.139.175,Paid Search,Credit Card,13,0.0
768,491,Delivered,762.62,78.72,0.0,46.7,841.34,USD,2022-08-09T19:38:08Z,2022-08-12T19:38:08Z,2022-08-18T19:38:08Z,Desktop,SAVE10,2022-08-09T19:38:08Z,Free Shipping,203.62.169.22,Email,Credit Card,8,0.0
